Aman Sultan,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12345
Aun Ali ,Syed,7,11/23/2000,Male,Karachi,Pakistan,12346
Aman Ali,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12347
Sami Khan,Non-syed,8,11/23/2000,Male,Karachi,Pakistan,12348
Haidar Javed,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12349
Hassan Naveed,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12350
Noor Ali,Non-syed,8,11/23/2000,Male,Karachi,Pakistan,12351
Ali Naqi,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12352
Osama Rasheed,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12353
Raza Ur Rehman,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12354
Moiz Naqi,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12355
Faiq Ali,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12356
Zain Ali,Syed,5,11/23/2000,Male,Karachi,Pakistan,12357
Ariba Sheikh,Syed,5,11/23/2000,Female,Karachi,Pakistan,12358
Sadia Khan,Syed,5,11/23/2000,Female,Karachi,Pakistan,12359
Summaya Ali,Syed,9,11/23/2000,Female,Karachi,Pakistan,12360
Hina Pervez,Syed,5,11/23/2000,Female,Karachi,Pakistan,12361
Nasra Javed,Syed,5,11/23/2000,Female,Karachi,Pakistan,12362
Any ,Syed,9,11/23/2000,Female,Karachi,Pakistan,12363
Bisma suleman,Syed,9,11/23/2000,Female,Karachi,Pakistan,12364
Warda Hammad,Non-syed,9,11/23/2000,Female,Karachi,Pakistan,12365
Nada Emad,Non-syed,9,11/23/2000,Female,Karachi,Pakistan,12366
Naena Rizwan,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12367
Sadia Khan,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12368
Farah Sadia,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12369
Anum ,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12370
Nazia Khan,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12371
Nida Ali,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12372
Sania Malik,Syed,5,11/23/2000,Female,Karachi,Pakistan,12373
Shamim Khan,Syed,10,11/23/2000,Female,Karachi,Pakistan,12374
Adeela,Syed,10,11/23/2000,Female,Karachi,Pakistan,12375
Tooba Khan,Syed,10,11/23/2000,Female,Karachi,Pakistan,12376
Mehrish Sultan,Syed,10,11/23/2000,Female,Karachi,Pakistan,12377
Zain Khan,Syed,10,11/23/2000,Male,Karachi,Pakistan,12378
Owais Khan,Syed,5,11/23/2000,Male,Karachi,Pakistan,12379
Danish Khan,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12380
Danish Sajid,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12381
Kamil Ali,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12382
Faheem Ashraf,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12383
Hassan Ali,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12384
Shoiab Malik,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12385
Shahid Khan,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12386
Irfan Khan,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12387
Sami Amjad,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12388
Musharf,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12389
Roni,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12390
Hasnain Qazi,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12391
Taha Niaz,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12392
Taha Aziz,Non-syed,6,11/23/2000,Male,Karachi,Pakistan,12393
Wahaj Qazi,Non-syed,5,11/23/2000,Male,Karachi,Pakistan,12394
Saba Qamar,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12395
Raheela Kumar,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12396
Shaheen,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12397
Dilshad,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12398
Maria Shams,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12399
Mahrukh,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12400
Sadaf Hammad,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12401
Sadia Noman,Non-syed,10,11/23/2000,Female,Karachi,Pakistan,12402
Maryam Khan,Non-syed,5,11/23/2000,Female,Karachi,Pakistan,12403
